date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:07:12	59170/59170	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Jul%202022%2018:24:19%20GMT	https://demo.themesberg.com/volt/pages/dashboard/dashboard.html	C:/My%20Web%20Sites/adm/demo.themesberg.com/volt/pages/dashboard/dashboard.html	(from )
22:07:13	35/35	---M--	200	added ('OK')	text/plain	etag:%2262c481d2-23%22	https://demo.themesberg.com/robots.txt		(from )
22:07:15	5617/5617	---M--	200	added ('OK')	image/png	etag:%2262c481d3-15f1%22	https://demo.themesberg.com/volt/assets/img/favicon/apple-touch-icon.png	C:/My%20Web%20Sites/adm/demo.themesberg.com/volt/assets/img/favicon/apple-touch-icon.png	(from https://demo.themesberg.com/volt/pages/dashboard/dashboard.html)
22:07:15	1775/1775	---M--	200	added ('OK')	image/png	etag:%2262c481d3-6ef%22	https://demo.themesberg.com/volt/assets/img/favicon/favicon-32x32.png	C:/My%20Web%20Sites/adm/demo.themesberg.com/volt/assets/img/favicon/favicon-32x32.png	(from https://demo.themesberg.com/volt/pages/dashboard/dashboard.html)
22:07:16	171031/171031	---M--	200	added ('OK')	image/jpeg	etag:%22c15fe84da54472e2b6967a15306bc2cf%22	https://themesberg.s3.us-east-2.amazonaws.com/public/products/volt-pro-bootstrap-5-dashboard/volt-pro-preview.jpg	C:/My%20Web%20Sites/adm/themesberg.s3.us-east-2.amazonaws.com/public/products/volt-pro-bootstrap-5-dashboard/volt-pro-preview.jpg	(from https://demo.themesberg.com/volt/pages/dashboard/dashboard.html)
22:07:16	1102/1102	---M--	200	added ('OK')	image/png	etag:%2262c481d3-44e%22	https://demo.themesberg.com/volt/assets/img/favicon/favicon-16x16.png	C:/My%20Web%20Sites/adm/demo.themesberg.com/volt/assets/img/favicon/favicon-16x16.png	(from https://demo.themesberg.com/volt/pages/dashboard/dashboard.html)
22:07:16	22627/22627	---MCZ	200	added ('OK')	text/css	etag:W/%2262c481d3-5863%22	https://demo.themesberg.com/volt/vendor/sweetalert2/dist/sweetalert2.min.css	C:/My%20Web%20Sites/adm/demo.themesberg.com/volt/vendor/sweetalert2/dist/sweetalert2.min.css	(from https://demo.themesberg.com/volt/pages/dashboard/dashboard.html)
22:07:17	5159/5159	---MCZ	200	added ('OK')	text/css	etag:W/%2262c481d3-1427%22	https://demo.themesberg.com/volt/vendor/notyf/notyf.min.css	C:/My%20Web%20Sites/adm/demo.themesberg.com/volt/vendor/notyf/notyf.min.css	(from https://demo.themesberg.com/volt/pages/dashboard/dashboard.html)
22:07:17	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sun,%2029%20Oct%202023%2016:37:19%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/adm/www.googletagmanager.com/gtm.85445.delayed	(from https://demo.themesberg.com/volt/pages/dashboard/dashboard.html)
22:07:18	400190/400190	---MCZ	200	added ('OK')	text/css	etag:W/%2262c481d3-61b3e%22	https://demo.themesberg.com/volt/css/volt.css	C:/My%20Web%20Sites/adm/demo.themesberg.com/volt/css/volt.css	(from https://demo.themesberg.com/volt/pages/dashboard/dashboard.html)
